date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-08-12,412.0,251237.0,6.0,35215.0,27330.0,3421717.0,6.814216731918856,582.4335976080644,56593.01270216309
2020-08-13,476.0,251713.0,10.0,35225.0,25629.0,3447346.0,7.872735835906251,582.5989912180625,57016.89998522704
2020-08-14,522.0,252235.0,6.0,35231.0,24868.0,3472214.0,8.633546441897192,582.6982273840613,57428.20081457015
2020-08-15,574.0,252809.0,3.0,35234.0,25937.0,3498151.0,9.49359321388695,582.7478454670606,57857.18222082204
2020-08-16,629.0,253438.0,158.0,35392.0,22470.0,3520621.0,10.403258068876118,585.3610645050295,58228.82166248761
2020-08-17,477.0,253915.0,4.0,35396.0,21379.0,3542000.0,7.889275196906055,585.4272219490288,58582.4166613024
2020-08-18,320.0,254235.0,4.0,35400.0,32687.0,3574687.0,5.292595519936976,585.4933793930279,59123.038754302965
2020-08-19,401.0,254636.0,5.0,35405.0,41290.0,3615977.0,6.632283760921022,585.576076198027,59805.94896998483
2020-08-20,642.0,255278.0,7.0,35412.0,49662.0,3665639.0,10.618269761873558,585.6918517250256,60627.32671595705
2020-08-21,840.0,256118.0,6.0,35418.0,44943.0,3710582.0,13.89306323983456,585.7910878910244,61370.6552173712
2020-08-22,947.0,257065.0,9.0,35427.0,46613.0,3757195.0,15.662774866813487,585.9399421400226,62141.60445165502
2020-08-23,1071.0,258136.0,3.0,35430.0,47463.0,3804658.0,17.713655630789066,585.9895602230221,62926.61214278867
2020-08-24,1209.0,259345.0,7.0,35437.0,33358.0,3838016.0,19.996087448761887,586.1053357500207,63478.3321470201
2020-08-25,953.0,260298.0,4.0,35441.0,45798.0,3883814.0,15.762011032812305,586.1714931940198,64235.80180208908
2020-08-26,876.0,261174.0,4.0,35445.0,58054.0,3941868.0,14.48848023582747,586.2376506380191,65195.97786557164
2020-08-27,1366.0,262540.0,13.0,35458.0,57640.0,3999508.0,22.592767125730965,586.4526623310165,66149.3066336003
2020-08-28,1409.0,263949.0,5.0,35463.0,65135.0,4064643.0,23.303959648722497,586.5353591360156,67226.59791232247
2020-08-29,1460.0,265409.0,9.0,35472.0,64294.0,4128937.0,24.14746705971245,586.6842133850138,68289.9795884438
2020-08-30,1444.0,266853.0,1.0,35473.0,53541.0,4182478.0,23.882837283715602,586.7007527460136,69175.51351573426
2020-08-31,1365.0,268218.0,4.0,35477.0,42583.0,4225061.0,22.57622776473116,586.7669101900128,69879.80912518887
2020-09-01,996.0,269214.0,6.0,35483.0,54395.0,4279456.0,16.47320355580384,586.8661463560117,70779.46766677315
2020-09-02,975.0,270189.0,8.0,35491.0,,,16.125876974807973,586.9984612440101,
2020-09-03,1326.0,271515.0,6.0,35497.0,,,21.931192685738843,587.0976974100089,
